color,line,org,org_lat,org_lon,dst,dst_lat,dst_lon,dist
#6ECA97,6,Dugommier,48.838876152,2.3893473876,Bercy,48.840192244,2.3794772573,0.4592970931
#6ECA97,6,Bercy,48.840192244,2.3794772573,Quai de la Gare,48.837614676,2.3738521157,0.3123422015
#6ECA97,6,Quai de la Gare,48.837614676,2.3738521157,Chevaleret,48.834964971,2.3680913459,0.3202783677
#6ECA97,6,Chevaleret,48.834964971,2.3680913459,Nationale,48.832881289,2.361909408,0.3166369178
#6ECA97,6,Nationale,48.832881289,2.361909408,Place d'Italie,48.831111838,2.3557961457,0.3045101571
#6ECA97,6,Place d'Italie,48.831111838,2.3557961457,Corvisart,48.829863252,2.3506227279,0.2512916894
#6ECA97,6,Corvisart,48.829863252,2.3506227279,Glacière,48.831247952,2.3431220758,0.355312261
#6ECA97,6,Glacière,48.831247952,2.3431220758,Saint-Jacques,48.832991692,2.3366828966,0.317503999
#6ECA97,6,Saint-Jacques,48.832991692,2.3366828966,Denfert-Rochereau,48.833998237,2.3332385012,0.1718328588
#6ECA97,6,Denfert-Rochereau,48.833998237,2.3332385012,Raspail,48.838878379,2.3306784193,0.3568685095
#6ECA97,6,Raspail,48.838878379,2.3306784193,Edgar-Quinet,48.840567726,2.3264028152,0.227289068
#6ECA97,6,Edgar-Quinet,48.840567726,2.3264028152,Montparnasse-Bienvenue,48.841870336,2.321228374,0.2525943094
#6ECA97,6,Montparnasse-Bienvenue,48.841870336,2.321228374,Pasteur,48.842012804,2.3132900438,0.3622053315
#6ECA97,6,Pasteur,48.842012804,2.3132900438,Sèvres-Lecourbe,48.844996151,2.31086483,0.2339514796
#6ECA97,6,Sèvres-Lecourbe,48.844996151,2.31086483,Cambronne,48.847699108,2.3020391437,0.4437328477
#6ECA97,6,Cambronne,48.847699108,2.3020391437,La Motte-Picquet-Grenelle,48.849018928,2.2977621607,0.2153189686
#6ECA97,6,La Motte-Picquet-Grenelle,48.849018928,2.2977621607,Dupleix,48.850392578,2.2936483362,0.210250769
#6ECA97,6,Dupleix,48.850392578,2.2936483362,Bir-Hakeim (Grenelle),48.854327219,2.2888101037,0.3501418357
#6ECA97,6,Bir-Hakeim (Grenelle),48.854327219,2.2888101037,Passy,48.857534383,2.2855927058,0.2657764289
#6ECA97,6,Passy,48.857534383,2.2855927058,Trocadéro,48.862666906,2.2872630616,0.362746465
#6ECA97,6,Trocadéro,48.862666906,2.2872630616,Boissière,48.866856155,2.2900380734,0.3159185444
#6ECA97,6,Boissière,48.866856155,2.2900380734,Kléber,48.871306149,2.2933310209,0.3421828923
