org,org_lat,org_lon,dst,dst_lat,dst_lon,color,line,dist
Boissière,48.866856155,2.2900380734,Kléber,48.871306149,2.2933310209,#6ECA97,6,0.3421828923
Kléber,48.871306149,2.2933310209,Charles de Gaulle-Etoile,48.873715268,2.2947595628,#6ECA97,6,0.1787549003
La Courneuve-8-Mai-1945,48.920514507,2.4102257791,Fort d'Aubervilliers,48.914056745,2.4035763345,#FA9ABA,7,0.5392930296
Fort d'Aubervilliers,48.914056745,2.4035763345,Aubervilliers Pantin (4 Chemins),48.903898048,2.3924800787,#FA9ABA,7,0.865006712
Aubervilliers Pantin (4 Chemins),48.903898048,2.3924800787,Porte de la Villette,48.897529157,2.3856442301,#FA9ABA,7,0.5391386607
Porte de la Villette,48.897529157,2.3856442301,Corentin-Cariou,48.894681542,2.382302194,#FA9ABA,7,0.2488078995
Corentin-Cariou,48.894681542,2.382302194,Crimée,48.890288775,2.3767786489,#FA9ABA,7,0.3943119187
Crimée,48.890288775,2.3767786489,Riquet,48.888393232,2.3744331089,#FA9ABA,7,0.1690570817
Riquet,48.888393232,2.3744331089,Stalingrad,48.884071986,2.3688700628,#FA9ABA,7,0.3917026604
Stalingrad,48.884071986,2.3688700628,Louis Blanc,48.880900428,2.3651072183,#FA9ABA,7,0.2782769077
Louis Blanc,48.880900428,2.3651072183,Château Landon,48.878456567,2.3620537162,#FA9ABA,7,0.218828143
Château Landon,48.878456567,2.3620537162,Gare de l'Est (Verdun),48.876417053,2.3589870465,#FA9ABA,7,0.1984909175
Gare de l'Est (Verdun),48.876417053,2.3589870465,Poissonnière,48.877353095,2.349381424,#FA9ABA,7,0.4425649226
Poissonnière,48.877353095,2.349381424,Cadet,48.875825718,2.3433451246,#FA9ABA,7,0.2946783311
Cadet,48.875825718,2.3433451246,Le Peletier,48.874963058,2.3401567908,#FA9ABA,7,0.1570755135
Le Peletier,48.874963058,2.3401567908,Chaussée d'Antin (La Fayette),48.872985825,2.3334262241,#FA9ABA,7,0.3358376154
Chaussée d'Antin (La Fayette),48.872985825,2.3334262241,Opéra,48.870559217,2.332554482,#FA9ABA,7,0.1723251279
Opéra,48.870559217,2.332554482,Pyramides,48.866496987,2.3340942153,#FA9ABA,7,0.2893465683
Pyramides,48.866496987,2.3340942153,Palais-Royal (Musée du Louvre),48.863387385,2.3354838368,#FA9ABA,7,0.2240208583
Palais-Royal (Musée du Louvre),48.863387385,2.3354838368,Pont Neuf,48.858534102,2.3421172387,#FA9ABA,7,0.4515964625
Pont Neuf,48.858534102,2.3421172387,Châtelet,48.857203646,2.3472247111,#FA9ABA,7,0.2503708887
Châtelet,48.857203646,2.3472247111,Pont Marie (Cité des Arts),48.853463586,2.3573839728,#FA9ABA,7,0.5304606575
Pont Marie (Cité des Arts),48.853463586,2.3573839728,Sully-Morland,48.850793595,2.3612369937,#FA9ABA,7,0.2547765554
Sully-Morland,48.850793595,2.3612369937,Jussieu,48.845968432,2.3548073927,#FA9ABA,7,0.4440138065
Jussieu,48.845968432,2.3548073927,Place Monge (Jardin des Plantes),48.843164693,2.3521103624,#FA9ABA,7,0.2294905139
