node,lat,lon
LES FAUVELLES,48.902432659,2.2392940456
LES FLANADES,48.976778179,2.3772952252
LES MILONS,48.849966396,2.2210491848
LES MOULINEAUX,48.821474528,2.251410827
LIBERATION,48.906986138,2.4387686026
LOCHERES,48.978653755,2.3844367944
LOUVOIS,48.780231052,2.1965890249
La Chapelle,48.884388698,2.3592765643
La Courneuve-8-Mai-1945,48.920514507,2.4102257791
La Courneuve-Aubervilliers,48.924023435,2.3844006647
La Défense (Grande Arche),48.892005654,2.2379920432
La Fourche,48.887436843,2.325725222
La Hacquinière,48.695060732,2.1526641368
La Motte-Picquet-Grenelle,48.849018928,2.297952964
La Muette,48.85809505,2.2740964481
La Plaine-Stade de France,48.918116641,2.3626045186
La Tour-Maubourg,48.857227861,2.3097962258
La Varenne-Chennevières,48.794933545,2.5130447577
Lamarck-Caulaincourt,48.889738108,2.3391490867
Laplace,48.807583413,2.3333494015
Laumière,48.884931611,2.3790912469
Le Bourget,48.93068623,2.4256937696
Le Kremlin-Bicêtre,48.810385125,2.3618306831
Le Parc de Saint-Maur,48.805280012,2.4855943248
Le Peletier,48.874963058,2.3401567908
Le Vésinet-Centre,48.890095706,2.1343746143
Le Vésinet-Le Pecq,48.898350894,2.1218289254
Ledru-Rollin,48.851194165,2.375931737
Les Agnettes,48.922916332,2.2859638966
Les Gobelins,48.83612744,2.3520811178
Les Halles,48.862011971,2.3464764519
Les Sablons (Jardin d'acclimatation),48.881299185,2.271915176
Liberté,48.825637112,2.4074108054
Liège,48.879537166,2.3268579473
Louis Blanc,48.881493429,2.3657752423
Louise Michel,48.889269622,2.2880551248
Lourmel,48.838668129,2.2822484884
Louvre-Rivoli,48.860879858,2.3409732758
Luxembourg,48.846778559,2.3404411812
MAIL DE LA PLAINE,48.783767334,2.2470120155
MAIRIE DE PIERREFITTE,48.963527533,2.3598834657
MAIRIE DE VELIZY,48.780602705,2.1917327489
MAIRIE DE VILLENEUVE-LA GARENNE,48.935778578,2.3341172701
MARCHE DE SAINT-DENIS,48.939183116,2.3562577428
MARIE DE MIRIBEL,48.858844637,2.4098121077
MARYSE BASTIE,48.824132011,2.3776674618
MAURICE LACHATRE,48.919091976,2.4143420096
MEUDON SUR-SEINE,48.819145789,2.2386210142
MEUDON-LA-FORET,48.783515172,2.2252781413
MONTEMPOIVRE,48.839890492,2.4090367346
MONTSOURIS,48.821217828,2.3338928088
MOULIN VERT,48.77177165,2.3679994422
MUSEE DE SEVRES,48.828759684,2.2251669025
Mabillon,48.852845134,2.3351437185
Madeleine,48.869794715,2.3246801996
Mairie d'Issy,48.824346526,2.2735658296
Mairie d'Ivry,48.811214535,2.3835089287
Mairie de Clichy,48.904005432,2.3053681209
Mairie de Montreuil,48.862280986,2.4418276791
Mairie de Montrouge,48.818466337,2.3196432186
Mairie des Lilas,48.880051062,2.4156602061
Maison Blanche,48.822878775,2.3580798943
Maisons-Alfort-Les Juilliottes,48.802500442,2.4461836186
Maisons-Alfort-Stade,48.808225347,2.4362758211
Malakoff-Plateau de Vanves,48.822442694,2.2979321053
Malakoff-Rue Etienne Dolet,48.814704061,2.2972847302
Malesherbes,48.882536473,2.311009243
Maraîchers,48.852600402,2.4063849896
Marcadet-Poissonniers,48.891606823,2.349548311
Marcel Sembat,48.833808587,2.2434806144
Marne-la-Vallée Chessy,48.870167774,2.7824920526
Marx-Dormoy,48.890374081,2.3597970087
Maubert-Mutualité,48.84971694,2.3489255585
Michel Bizot,48.836991038,2.4029196069
Michel-Ange-Auteuil,48.847924593,2.2642359058
Michel-Ange-Molitor,48.845056129,2.262320039
Mirabeau,48.847084859,2.2730749149
Miromesnil,48.873532141,2.3160412889
Monceau,48.880576891,2.3094159462
Montgallet,48.844403092,2.3902516532
Montparnasse-Bienvenue,48.844189509,2.3244412324
Mouton-Duvernet,48.832191599,2.3304069926
Ménilmontant,48.865705788,2.3844293752
Nanterre-Préfecture,48.895659932,2.2231003281
Nanterre-Université,48.900989014,2.2137917122
Nanterre-Ville,48.895325147,2.1958404739
Nation,48.849423901,2.3980040128
Nationale,48.832881289,2.361909408
Nogent-sur-Marne,48.835108774,2.4716839162
Notre-Dame de Lorette,48.876050554,2.337908692
Notre-Dame des Champs,48.844783048,2.3284444833
Oberkampf,48.864974291,2.3676324116
Odéon,48.852314881,2.3388617203
Olympiades,48.826948282,2.3670384334
Opéra,48.870720976,2.332554482
Orly 1-2-3,48.729564991,2.3595642394
Orly 4,48.728924576,2.3693599439
Ourcq,48.886923877,2.3866564344
PABLO NERUDA,48.956142471,2.3436002094
PARC ANDRE MALRAUX,48.800344655,2.2824523509
PARC DE ST-CLOUD,48.842893832,2.22167777
PARC DES CHANTERAINES,48.93408673,2.3135202468
PARC PIERRE LAGRAVERE,48.917580644,2.2244020004
PAUL ELUARD,48.939678643,2.3451533743
PAUL VALERY,48.979311349,2.3802597578
PAVE BLANC (PARC NOVEOS),48.780930729,2.2401624084
PETIT NOISY,48.90002259,2.4652682832
PETIT PIERREFITTE,48.952321536,2.3577089664
PIERRE DE GEYTER,48.932083992,2.3529133491
PLACE DE LA LOGISTIQUE (PLATEFORME SOGARIS),48.752898017,2.3620209827
PONT DE BEZONS,48.923325386,2.2173115375
PONT DE BONDY,48.904726603,2.4700513746
PONT GARIGLIANO - HOPITAL EUROPEEN GEORGE POMPIDOU,48.837880583,2.2711801735
PORTE D'ASNIERES - MARGUERITE LONG,48.889805127,2.3031008427
PORTE D'AUBERVILLIERS,48.898775032,2.368783615
PORTE D'ISSY,48.83169317,2.2809898203
PORTE D'ITALIE,48.818995705,2.3601879223
PORTE D'IVRY,48.821671675,2.3702475859
PORTE D'ORLEANS,48.822835142,2.3261615201
PORTE DE BAGNOLET,48.863572543,2.4089332971
PORTE DE CHARENTON,48.831843506,2.3984886704
PORTE DE CHOISY,48.819713907,2.3640808202
PORTE DE CLICHY - TRIBUNAL DE PARIS,48.894714788,2.3142061536
PORTE DE CLIGNANCOURT - PUCES DE SAINT-OUEN,48.898086935,2.345106141
PORTE DE L'ESSONNE,48.714533524,2.3716329867
PORTE DE LA CHAPELLE,48.898579452,2.359268964
PORTE DE LA VILLETTE - CITE DES SCIENCES ET DE L'I,48.89769947,2.3867212307
PORTE DE MONTREUIL,48.853181936,2.4108120075
PORTE DE PANTIN - PARC DE LA VILLETTE,48.888896894,2.3958576137
PORTE DE RUNGIS,48.752530712,2.355305951
PORTE DE SAINT-OUEN,48.897745435,2.3295804776
PORTE DE THIAIS (MARCHE INTERNATIONAL),48.759862907,2.3661299157
PORTE DE VANVES,48.827271571,2.3064225868
